t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
2166.22,100,66,45851,81920,296.17,400.00,1410,46
2176.25,100,49,45851,81920,404.59,400.00,1380,53
2186.27,100,49,45851,81920,375.07,400.00,1395,49
2196.3,100,52,45851,81920,376.77,400.00,1410,51
2206.33,100,55,45851,81920,270.15,400.00,1410,46
2216.36,100,62,45851,81920,277.13,400.00,1410,45
2226.39,100,49,45851,81920,363.59,400.00,1395,50
2236.42,100,50,45851,81920,379.71,400.00,1410,52
2246.45,96,48,45851,81920,385.89,400.00,1395,52
2256.48,100,50,45851,81920,256.48,400.00,1410,47
2266.53,100,58,45851,81920,268.75,400.00,1410,45
2276.55,100,60,45851,81920,273.58,400.00,1410,45
2286.58,100,44,45851,81920,389.41,400.00,1410,54
2296.61,100,50,45851,81920,304.82,400.00,1410,50
2306.64,100,50,45851,81920,316.50,400.00,1410,51
2316.66,100,55,45851,81920,258.27,400.00,1410,45
2326.69,100,60,45851,81920,275.78,400.00,1410,45
2336.72,100,45,45851,81920,373.77,400.00,1410,53
2346.74,100,51,45851,81920,336.57,400.00,1410,50
2356.77,100,50,45851,81920,319.07,400.00,1410,51
2366.8,100,55,45851,81920,262.34,400.00,1410,46
2376.83,100,58,45851,81920,264.92,400.00,1410,45
2386.86,100,54,45851,81920,325.23,400.00,1395,50
2396.88,100,49,45851,81920,358.22,400.00,1410,50
2406.91,100,51,45851,81920,337.82,400.00,1410,51
2416.94,100,50,45851,81920,252.93,400.00,1410,46
2426.97,100,60,45851,81920,276.81,400.00,1410,46
2437.0,0,0,45851,81920,88.15,400.00,1410,39
2447.02,100,49,45851,81920,405.47,400.00,1410,54
2457.05,100,51,45851,81920,304.86,400.00,1410,51
2467.08,100,50,45851,81920,360.73,400.00,1410,52
2477.1,100,57,45851,81920,274.32,400.00,1410,46
2487.13,100,64,45851,81920,291.04,400.00,1410,46
2497.16,100,57,45851,81920,392.26,400.00,1365,52
2507.18,98,79,45851,81920,350.41,400.00,1410,51
2517.21,100,50,45851,81920,349.76,400.00,1410,52
2527.25,100,52,45851,81920,261.29,400.00,1410,46
2537.27,100,60,45851,81920,277.46,400.00,1410,45
2547.3,100,54,45851,81920,348.82,400.00,1410,49
2557.33,100,50,45851,81920,370.69,400.00,1410,51
2567.36,96,48,45851,81920,369.14,400.00,1410,51
2577.39,100,49,45851,81920,325.08,400.00,1410,50
2587.42,100,60,45851,81920,281.76,400.00,1410,45
2597.45,100,67,45851,81920,300.52,400.00,1410,45
2607.48,100,45,45851,81920,315.55,400.00,1395,51
2617.51,96,52,45851,81920,363.70,400.00,1410,51
2627.54,100,49,45851,81920,288.10,400.00,1410,50
2637.57,100,56,45851,81920,262.81,400.00,1410,45
2647.6,100,61,45851,81920,274.08,400.00,1410,44
2657.62,100,61,45851,81920,352.29,400.00,1410,49
2667.65,100,50,45851,81920,274.64,400.00,1395,48
2677.69,100,50,45851,81920,342.32,400.00,1410,50
2687.72,100,51,45851,81920,252.69,400.00,1410,44
2697.75,100,60,45851,81920,276.49,400.00,1410,44
2707.77,100,57,45851,81920,374.39,400.00,1410,47
2717.81,18,9,45851,81920,354.99,400.00,1410,47
2727.84,100,51,45851,81920,285.11,400.00,1410,48
2737.87,100,51,45851,81920,336.46,400.00,1410,48
2747.91,100,57,45851,81920,268.96,400.00,1410,43
2757.93,100,63,45851,81920,283.47,400.00,1410,44
2767.96,100,49,45851,81920,316.82,400.00,1380,49
2777.99,100,51,45851,81920,352.70,400.00,1410,49
2788.02,100,50,45851,81920,336.50,400.00,1410,49
2798.05,84,46,45851,81920,260.69,400.00,1410,43
2808.08,100,63,45851,81920,289.55,400.00,1410,44
2818.11,100,50,45851,81920,361.97,400.00,1410,48
2828.14,97,48,45851,81920,362.50,400.00,1410,51
2838.17,98,69,45851,81920,358.77,400.00,1410,49
2848.2,94,48,45851,81920,225.98,400.00,1410,46
2858.23,100,58,45851,81920,262.57,400.00,1410,43
2868.25,100,63,45851,81920,278.69,400.00,1410,43
2878.28,100,48,45851,81920,366.26,400.00,1350,51
2888.32,99,65,45851,81920,329.90,400.00,1410,48
2898.35,100,51,45851,81920,363.24,400.00,1410,50
