t,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,power.limit,clocks.sm,temperature.gpu
479.2,0,0,74395,81920,71.32,400.00,1155,35
481.38,0,0,74395,81920,71.39,400.00,1155,35
483.45,0,0,74395,81920,71.00,400.00,1155,35
485.52,0,0,74395,81920,71.07,400.00,1155,35
487.58,0,0,74395,81920,71.07,400.00,1155,35
489.65,0,0,74395,81920,71.14,400.00,1155,35
491.74,0,0,74395,81920,71.16,400.00,1155,35
493.81,0,0,74395,81920,71.16,400.00,1155,35
495.87,0,0,74395,81920,71.16,400.00,1155,35
497.94,0,0,74395,81920,71.39,400.00,1155,35
500.0,0,0,74395,81920,71.32,400.00,1155,35
502.07,0,0,74395,81920,71.39,400.00,1155,35
504.13,0,0,74395,81920,71.32,400.00,1155,35
506.2,0,0,74395,81920,71.32,400.00,1155,35
508.27,0,0,74395,81920,71.32,400.00,1155,35
510.42,0,0,74395,81920,71.18,400.00,1155,35
512.49,0,0,74395,81920,71.32,400.00,1155,35
514.56,0,0,74395,81920,71.25,400.00,1155,35
516.63,0,0,74395,81920,71.39,400.00,1155,35
518.7,0,0,74395,81920,71.39,400.00,1155,35
520.76,0,0,74395,81920,71.39,400.00,1155,35
522.83,0,0,74395,81920,71.25,400.00,1155,35
524.9,0,0,74395,81920,71.14,400.00,1155,35
526.96,0,0,74395,81920,71.16,400.00,1155,35
529.12,0,0,74395,81920,71.36,400.00,1155,35
531.19,0,0,74395,81920,71.29,400.00,1155,35
533.25,0,0,74395,81920,71.23,400.00,1155,35
535.32,0,0,74395,81920,71.16,400.00,1155,35
537.38,0,0,74395,81920,71.76,400.00,1155,35
539.48,0,0,74395,81920,71.36,400.00,1155,35
541.55,0,0,74395,81920,71.16,400.00,1155,35
543.62,0,0,74395,81920,71.16,400.00,1155,35
545.68,0,0,74395,81920,71.16,400.00,1155,35
547.75,0,0,74395,81920,71.16,400.00,1155,35
549.93,0,0,74395,81920,71.16,400.00,1155,35
552.0,0,0,74395,81920,71.16,400.00,1155,35
554.06,0,0,74395,81920,71.36,400.00,1155,35
556.13,0,0,74395,81920,71.43,400.00,1155,35
558.19,0,0,74395,81920,71.51,400.00,1155,35
560.26,0,0,74395,81920,71.43,400.00,1155,35
562.33,0,0,74395,81920,71.43,400.00,1155,35
564.4,0,0,74395,81920,71.43,400.00,1155,35
566.46,0,0,74395,81920,71.16,400.00,1155,35
568.52,0,0,74395,81920,71.43,400.00,1155,35
570.59,0,0,74395,81920,71.43,400.00,1155,35
572.65,0,0,74395,81920,71.43,400.00,1155,35
574.72,0,0,74395,81920,71.43,400.00,1155,35
576.79,0,0,74395,81920,71.43,400.00,1155,35
578.85,0,0,74395,81920,71.43,400.00,1155,35
580.92,0,0,74395,81920,71.43,400.00,1155,35
583.03,0,0,74395,81920,71.51,400.00,1155,35
585.09,0,0,74395,81920,71.16,400.00,1155,35
587.16,0,0,74395,81920,71.23,400.00,1155,35
589.29,0,0,74395,81920,71.23,400.00,1155,35
591.35,0,0,74395,81920,71.16,400.00,1155,35
593.42,0,0,74395,81920,71.16,400.00,1155,35
595.48,0,0,74395,81920,71.16,400.00,1155,35
